,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
234,2021-10-22,50.3899994,50.5499992,49.1399994,49.4599991,48.3647728,109971900.0,109971900.0,-2.02523,-4.019,49.35159,"October 22, 21",-0.04019
235,2021-10-21,54.9300003,56.0699997,54.8300018,56.0,54.7599564,38390900.0,38390900.0,-0.17004,-0.31,55.21999,"October 21, 21",-0.0031
236,2021-10-20,55.25,55.4900017,55.0800018,55.3699989,54.1439018,16850300.0,16850300.0,-1.1061,-2.002,54.90464,"October 20, 21",-0.02002
237,2021-10-19,54.6300011,55.2200012,54.3699989,55.2099991,53.9874458,18392900.0,18392900.0,-0.64256,-1.176,54.52582,"October 19, 21",-0.01176
238,2021-10-18,54.1899986,54.5600014,53.7200012,54.4700012,53.2638359,22407600.0,22407600.0,-0.92616,-1.709,53.84795,"October 18, 21",-0.01709
239,2021-10-15,54.2000008,54.4900017,53.8100014,54.4599991,53.254055,25231100.0,25231100.0,-0.94595,-1.745,53.85135,"October 15, 21",-0.01745
240,2021-10-14,52.9000015,54.0,52.7299995,53.9000015,52.7064552,26586700.0,26586700.0,-0.19355,-0.366,53.14548,"October 14, 21",-0.00366
241,2021-10-13,52.3800011,52.5800018,51.8699989,52.2599983,51.1027718,18534000.0,18534000.0,-1.27723,-2.438,51.85092,"October 13, 21",-0.02438
242,2021-10-12,53.5699997,53.7200012,52.0099983,52.1699982,51.0147591,32784300.0,32784300.0,-2.55524,-4.77,52.24825,"October 12, 21",-0.0477
243,2021-10-11,53.8100014,54.4099998,53.4199982,53.4399986,52.2566376,14398800.0,14398800.0,-1.55336,-2.887,53.36221,"October 11, 21",-0.02887
244,2021-10-08,54.5499992,54.5800018,53.7000008,53.8100014,52.6184502,16068000.0,16068000.0,-1.93155,-3.541,53.63282,"October 08, 21",-0.03541
245,2021-10-07,54.3199997,54.9900017,54.1199989,54.1800003,52.9802551,20704400.0,20704400.0,-1.33974,-2.466,54.03009,"October 07, 21",-0.02466
246,2021-10-06,53.4799995,54.0699997,53.0699997,53.9799995,52.7846832,20059600.0,20059600.0,-0.69532,-1.3,53.30823,"October 06, 21",-0.013
247,2021-10-05,53.5499992,54.3400002,53.4799995,53.9500008,52.7553482,18129400.0,18129400.0,-0.79465,-1.484,53.52512,"October 05, 21",-0.01484
248,2021-10-04,53.9300003,54.3300018,53.0800018,53.4700012,52.2859802,27353300.0,27353300.0,-1.64402,-3.048,53.23199,"October 04, 21",-0.03048
249,2021-10-01,53.6500015,54.1100006,53.0499992,53.8600006,52.6673431,19895100.0,19895100.0,-0.98266,-1.832,53.27578,"October 01, 21",-0.01832
250,2021-09-30,53.7599983,53.9799995,53.2599983,53.2799988,52.1001854,20534100.0,20534100.0,-1.65981,-3.087,53.11339,"September 30, 21",-0.03087
251,2021-09-29,54.0,54.0499992,53.1800003,53.4900017,52.3055344,20514300.0,20514300.0,-1.69447,-3.138,53.17851,"September 29, 21",-0.03138
252,2021-09-28,54.1800003,54.5900002,53.9599991,54.0,52.8042412,24691300.0,24691300.0,-1.37576,-2.539,53.78475,"September 28, 21",-0.02539
253,2021-09-27,53.9399986,54.8699989,53.8199997,54.6599998,53.4496269,13899900.0,13899900.0,-0.49037,-0.909,54.04654,"September 27, 21",-0.00909
254,2021-09-24,53.7799988,54.4199982,53.7299995,54.2200012,53.019371,12976200.0,12976200.0,-0.76063,-1.414,53.72312,"September 24, 21",-0.01414
255,2021-09-23,53.75,54.2999992,53.5999985,54.0299988,52.8335762,16474300.0,16474300.0,-0.91642,-1.705,53.57786,"September 23, 21",-0.01705
256,2021-09-22,53.4000015,53.8699989,53.0,53.5,52.3153114,18594100.0,18594100.0,-1.08469,-2.031,53.06177,"September 22, 21",-0.02031
257,2021-09-21,53.2000008,53.4500008,52.8300018,52.8699989,51.6992607,17968900.0,17968900.0,-1.50074,-2.821,52.65975,"September 21, 21",-0.02821
258,2021-09-20,53.2099991,53.5,52.3199997,52.9799995,51.8068275,35051900.0,35051900.0,-1.40317,-2.637,52.54228,"September 20, 21",-0.02637
259,2021-09-17,54.5900002,54.5900002,53.6699982,54.2599983,53.0584831,35359200.0,35359200.0,-1.53152,-2.805,53.77283,"September 17, 21",-0.02805
260,2021-09-16,54.8600006,54.9500008,54.2400017,54.8300018,53.61586,19863100.0,19863100.0,-1.24414,-2.268,54.26862,"September 16, 21",-0.02268
261,2021-09-15,54.6699982,55.1500015,54.4199982,55.1199989,53.8994408,18796200.0,18796200.0,-0.77056,-1.409,54.48981,"September 15, 21",-0.01409
262,2021-09-14,55.3699989,55.4399986,54.2700005,54.5200005,53.3127289,22072700.0,22072700.0,-2.05727,-3.715,54.34091,"September 14, 21",-0.03715
263,2021-09-13,54.6100006,55.4900017,54.4099998,54.9900017,53.7723198,22639200.0,22639200.0,-0.83768,-1.534,54.55744,"September 13, 21",-0.01534
264,2021-09-10,53.8499985,54.9799995,53.8100014,53.8400002,52.6477814,20324700.0,20324700.0,-1.20222,-2.233,53.81259,"September 10, 21",-0.02233
265,2021-09-09,53.6599998,53.8899994,53.3400002,53.4000015,52.2175293,13495800.0,13495800.0,-1.44247,-2.688,53.14918,"September 09, 21",-0.02688
266,2021-09-08,53.7299995,53.9199982,52.9900017,53.5699997,52.3837624,18235100.0,18235100.0,-1.34624,-2.506,53.09792,"September 08, 21",-0.02506
267,2021-09-07,53.5699997,53.9500008,53.4399986,53.6500015,52.4619942,13915000.0,13915000.0,-1.10801,-2.068,53.284,"September 07, 21",-0.02068
268,2021-09-03,53.4399986,54.0800018,53.3199997,53.5099983,52.3250885,13456200.0,13456200.0,-1.11491,-2.086,53.2417,"September 03, 21",-0.02086
269,2021-09-02,53.7999992,53.8899994,53.3499985,53.7299995,52.5402145,15869500.0,15869500.0,-1.25978,-2.342,53.26007,"September 02, 21",-0.02342
270,2021-09-01,54.1100006,54.1599998,53.5299988,53.6699982,52.4815445,18615000.0,18615000.0,-1.62846,-3.01,53.39051,"September 01, 21",-0.0301
271,2021-08-31,54.4399986,54.5,53.6599998,54.0600014,52.8629112,22350100.0,22350100.0,-1.57709,-2.897,53.6743,"August 31, 21",-0.02897
272,2021-08-30,54.2599983,54.8699989,53.7599983,53.9399986,52.7455673,14581300.0,14581300.0,-1.51443,-2.791,53.79185,"August 30, 21",-0.02791
273,2021-08-27,53.3600006,53.9399986,52.9199982,53.8899994,52.6966743,16525000.0,16525000.0,-0.66333,-1.243,53.18556,"August 27, 21",-0.01243
274,2021-08-26,53.75,53.75,52.9700012,53.1300011,51.9535065,19570000.0,19570000.0,-1.79649,-3.342,52.89117,"August 26, 21",-0.03342
275,2021-08-25,54.0800018,54.2299995,53.7299995,53.8100014,52.6184502,15048400.0,15048400.0,-1.46155,-2.703,53.52615,"August 25, 21",-0.02703
276,2021-08-24,53.5600014,53.9700012,53.3100014,53.8100014,52.6184502,20348800.0,20348800.0,-0.94155,-1.758,53.29948,"August 24, 21",-0.01758
277,2021-08-23,52.5900002,53.5400009,52.4799995,53.2299995,52.0512924,23976300.0,23976300.0,-0.53871,-1.024,52.69043,"August 23, 21",-0.01024
278,2021-08-20,52.1599998,52.3800011,51.4199982,52.0099983,50.8583069,25728300.0,25728300.0,-1.30169,-2.496,51.55277,"August 20, 21",-0.02496
279,2021-08-19,52.0499992,52.6699982,51.5800018,52.4399986,51.2787857,22999400.0,22999400.0,-0.77121,-1.482,51.84293,"August 19, 21",-0.01482
280,2021-08-18,52.5999985,53.0299988,52.1100006,52.1899986,51.0343208,15061700.0,15061700.0,-1.56568,-2.977,52.05811,"August 18, 21",-0.02977
