,open,high,low,close,adjClose
495,345.559998,347.350006,344.890015,346.850006,339.778992
496,342.850006,343.850006,341.859985,343.779999,336.771515
497,338.119995,341.630005,338.089996,340.76001,333.81311
498,339.910004,342.170013,334.380005,334.929993,328.101959
499,336.059998,339.959991,336.01001,339.76001,332.833496
500,331.700012,337.01001,331.190002,333.839996,327.03418
501,337.690002,338.73999,335.01001,337.040009,330.168976
502,333.089996,338.290009,332.880005,334.890015,328.062775
503,333.970001,334.769989,331.619995,332.369995,325.594116
504,333.220001,334.959991,332.149994,334.190002,327.377045
505,322.579987,329.579987,321.640015,328.730011,322.028381
506,321.220001,326.799988,319.799988,323.5,316.904938
507,330.899994,331.200012,322.100006,322.640015,316.0625
508,328.570007,330.899994,325.859985,330.299988,323.566345
509,325.700012,327.130005,321.730011,326.970001,320.30423
510,335.369995,335.48999,327.970001,330.649994,323.90918
511,333.559998,337.700012,332.98999,335.839996,327.681671
512,341.51001,343.059998,338.519989,338.820007,330.589355
513,341.119995,342.019989,338.470001,340.170013,331.906525
514,337.48999,340.380005,334.220001,338.459991,330.238068
515,335.820007,336.970001,331.0,334.059998,325.944946
516,341.820007,342.529999,332.850006,333.890015,325.779144
517,337.549988,342.459991,336.609985,339.790009,331.535767
518,336.709991,342.640015,332.880005,333.209991,325.115601
519,346.130005,347.829987,334.869995,342.570007,334.24823
520,355.869995,356.380005,342.589996,345.390015,336.999725
521,354.670013,358.75,353.429993,357.700012,349.010651
522,350.209991,352.709991,349.23999,352.600006,344.034546
523,350.350006,351.299988,349.059998,349.309998,340.824432
524,349.440002,350.720001,348.149994,350.579987,342.063629
525,348.51001,349.899994,346.529999,348.329987,339.868286
526,344.76001,347.859985,344.170013,347.570007,339.12677
527,343.529999,344.209991,342.269989,344.119995,335.760559
528,342.119995,343.0,339.450012,342.920013,334.589722
529,337.920013,339.720001,337.549988,339.480011,331.233307
530,335.359985,338.799988,335.220001,338.279999,330.062439
531,339.049988,339.609985,336.619995,337.230011,329.037964
532,338.339996,339.100006,336.609985,338.640015,330.413727
533,337.940002,338.339996,336.850006,337.910004,329.701416
534,336.410004,337.420013,335.619995,336.839996,328.657379
535,336.609985,338.25,335.829987,336.829987,328.647583
536,335.440002,338.279999,335.410004,337.440002,329.242798
537,336.850006,337.540009,332.01001,332.799988,324.715546
538,335.059998,335.769989,332.959991,335.570007,327.418274
539,333.279999,334.880005,332.299988,334.570007,326.442596
540,331.480011,334.459991,331.130005,334.329987,326.208344
541,331.470001,332.390015,331.179993,332.109985,324.042328
542,327.859985,330.059998,327.859985,330.059998,322.042114
543,328.320007,329.619995,327.730011,328.790009,320.802948
544,325.899994,326.630005,321.329987,326.519989,318.588074
545,321.899994,324.410004,319.640015,323.959991,316.090302
546,322.119995,325.730011,322.079987,325.119995,317.222107
547,322.429993,323.640015,320.850006,321.170013,313.368103
548,321.630005,323.410004,320.769989,323.220001,315.368256
549,320.950012,321.98999,319.25,320.880005,313.085144
550,326.470001,327.230011,321.480011,322.959991,315.114594
551,324.619995,327.200012,324.5,326.859985,318.9198
552,326.450012,326.929993,323.940002,325.01001,317.114838
553,321.429993,325.130005,320.619995,324.320007,316.44162
554,321.880005,322.570007,319.73999,321.720001,313.904694
